#energy (keV)	DWTR-WY-filter.str	DWTR-MN.str	DWTR-NC.str	DWTR-NC-filter-Ti.str	DWTR-TN.str	DWTR-TN-filter.str	DWTR-UT.str	DWTR-UT-filter.str	DWTR-WY.str
1.41	22	99	225	38	142	32	475	28	664
1.42	27	147	287	44	165	45	585	43	746
1.43	48	132	312	42	189	47	658	30	911
1.44	38	139	306	49	206	41	805	37	1081
1.45	57	163	344	52	200	59	932	65	1193
1.46	72	185	348	77	236	61	1061	62	1364
1.47	64	176	421	74	234	39	1226	57	1574
1.48	68	221	429	79	256	59	1335	63	1923
1.49	82	175	437	70	309	69	1377	54	1878
1.5	78	233	466	79	331	74	1493	65	2038
1.51	85	208	490	91	307	80	1458	53	2104
1.52	74	239	561	70	380	66	1470	60	2114
1.53	85	219	536	79	352	74	1335	55	2146
1.54	77	257	524	93	354	73	1280	62	2139
1.55	72	262	553	79	367	73	1165	55	1945
1.56	72	259	575	96	425	96	1079	32	1927
1.57	69	241	591	73	341	77	1070	35	1917
1.58	56	231	532	86	342	80	843	39	1760
1.59	53	234	627	83	382	78	801	33	1713
1.6	61	237	571	94	384	65	694	31	1651
1.61	47	223	553	80	339	59	669	38	1630
1.62	55	233	601	98	455	87	646	31	1539
1.63	64	252	601	80	399	80	623	28	1616
1.64	56	269	654	87	434	59	616	30	1815
1.65	79	287	716	80	402	99	614	49	1969
1.66	76	282	690	93	531	114	750	31	2317
1.67	121	269	733	104	545	106	790	44	2528
1.68	138	282	727	119	535	112	991	54	2907
1.69	145	297	921	91	576	101	1102	43	3427
1.7	187	356	937	122	662	80	1251	43	4105
1.71	182	371	980	97	646	123	1429	60	4348
1.72	232	386	1135	114	758	128	1750	83	5112
1.73	280	368	1170	124	805	121	1771	83	5305
1.74	253	440	1239	122	853	96	1813	74	5888
1.75	302	470	1348	129	1024	98	2105	75	6271
1.76	256	543	1394	178	1065	116	1990	91	6290
1.77	284	454	1342	148	1016	117	1934	65	6369
1.78	273	501	1516	146	1046	143	1984	90	6643
1.79	255	511	1552	126	1162	107	1929	60	6328
1.8	236	498	1544	169	1072	121	1796	57	6107
1.81	215	521	1467	162	1069	150	1577	52	5421
1.82	190	503	1496	164	1072	116	1482	59	5145
