10,1751
10.05,1765
10.1,1619
10.15,1704
10.2,1757
10.25,1732
10.3,1728
10.35,1921
10.4,1896
10.45,1717
10.5,1730
10.55,1704
10.6,1647
10.65,1719
10.7,1715
10.75,1705
10.8,1776
10.85,1644
10.9,1763
10.95,1692
11,1657
11.05,1682
11.1,1645
11.15,1656
11.2,1726
11.25,1832
11.3,1633
11.35,1604
11.4,1626
11.45,1612
11.5,1680
11.55,1620
11.6,1619
11.65,1659
11.7,1677
11.75,1677
11.8,1666
11.85,1620
11.9,1644
11.95,1642
12,1678
12.05,1600
12.1,1603
12.15,1651
12.2,1707
12.25,1711
12.3,1609
12.35,1703
12.4,1593
12.45,1673
12.5,1658
12.55,1582
12.6,1595
12.65,1526
12.7,1562
12.75,1512
12.8,1522
12.85,1535
12.9,1539
12.95,1552
13,1565
13.05,1586
13.1,1537
13.15,1562
13.2,1539
13.25,1538
13.3,1541
13.35,1532
13.4,1549
13.45,1565
13.5,1544
13.55,1558
13.6,1604
13.65,1573
13.7,1607
13.75,1577
13.8,1576
13.85,1515
13.9,1522
13.95,1500
14,1488
14.05,1466
14.1,1493
14.15,1560
14.2,1481
14.25,1561
14.3,1510
14.35,1474
14.4,1424
14.45,1537
14.5,1568
14.55,1532
14.6,1474
14.65,1499
14.7,1448
14.75,1486
14.8,1445
14.85,1507
14.9,1423
14.95,1409
15,1510
15.05,1445
15.1,1447
15.15,1493
15.2,1531
15.25,1467
15.3,1436
15.35,1502
15.4,1515
15.45,1470
15.5,1543
15.55,1494
15.6,1411
15.65,1449
15.7,1543
15.75,1361
15.8,1451
15.85,1428
15.9,1415
15.95,1444
16,1443
16.05,1426
16.1,1424
16.15,1472
16.2,1405
16.25,1437
16.3,1408
16.35,1388
16.4,1471
16.45,1504
16.5,1379
16.55,1395
16.6,1460
16.65,1456
16.7,1398
16.75,1479
16.8,1390
16.85,1476
16.9,1456
16.95,1359
17,1443
17.05,1402
17.1,1423
17.15,1454
17.2,1441
17.25,1374
17.3,1412
17.35,1439
17.4,1453
17.45,1407
17.5,1448
17.55,1477
17.6,1462
17.65,1385
17.7,1411
17.75,1499
17.8,1491
17.85,1420
17.9,1476
17.95,1516
18,1510
18.05,1426
18.1,1482
18.15,1503
18.2,1493
18.25,1550
18.3,1485
18.35,1507
18.4,1398
18.45,1449
18.5,1515
18.55,1430
18.6,1418
18.65,1406
18.7,1452
18.75,1370
18.8,1419
18.85,1408
18.9,1353
18.95,1421
19,1464
19.05,1450
19.1,1431
19.15,1394
19.2,1432
19.25,1445
19.3,1493
19.35,1458
19.4,1533
19.45,1457
19.5,1613
19.55,1664
19.6,1766
19.65,1890
19.7,1876
19.75,1984
19.8,1876
19.85,1834
19.9,1705
19.95,1779
20,1681
20.05,1601
20.1,1700
20.15,1582
20.2,1724
20.25,1675
20.3,1615
20.35,1585
20.4,1577
20.45,1635
20.5,1690
20.55,1659
20.6,1709
20.65,1849
20.7,2099
20.75,2549
20.8,2587
20.85,2115
20.9,1668
20.95,1603
21,1539
21.05,1572
21.1,1568
21.15,1529
21.2,1533
21.25,1494
21.3,1464
21.35,1443
21.4,1405
21.45,1430
21.5,1425
21.55,1435
21.6,1447
21.65,1413
21.7,1444
21.75,1439
21.8,1445
21.85,1583
21.9,1586
21.95,1535
22,1489
22.05,1470
22.1,1350
22.15,1421
22.2,1392
22.25,1360
22.3,1343
22.35,1348
22.4,1434
22.45,1439
