twotheta, intensity, esd
5.0, 327.98873903, 17.9173485506
5.001, 321.070194457, 17.7256264994
5.002, 288.212240832, 16.8067467036
5.003, 334.220354165, 18.09638359
5.004, 332.579275365, 18.0339972663
5.005, 311.293866016, 17.4540976882
5.006, 314.332115192, 17.5418775723
5.007, 334.063678244, 18.0879003617
5.008, 287.759940575, 16.7803713635
5.009, 333.359453728, 18.0763021708
5.01, 304.297922024, 17.2528363762
5.011, 330.993649573, 18.0010551135
5.012, 328.937980838, 17.9424361172
5.013, 352.625030332, 18.5820837169
5.014, 310.344764285, 17.4283141069
5.015, 314.550663156, 17.5540740405
5.016, 298.140932661, 17.0973120174
5.017, 337.370865886, 18.1607327008
5.018, 328.910529639, 17.9409387486
5.019, 335.945738863, 18.1366799721
5.02, 338.049965858, 18.197288771
5.021, 317.226197055, 17.621213546
5.022, 323.379324686, 17.7989109261
5.023, 322.147341211, 17.7580363087
5.024, 332.101102922, 18.0346173281
5.025, 324.074826894, 17.8102191434
5.026, 312.388263052, 17.4879772084
5.027, 308.701404973, 17.3634427275
5.028, 332.698307468, 18.0404517413
5.029, 329.973215893, 17.9721724273
5.03, 352.143158308, 18.5566907768
5.031, 317.515169758, 17.6372653405
5.032, 318.143030267, 17.6449251308
5.033, 336.939984207, 18.1638896745
5.034, 368.100064791, 18.9802312005
5.035, 291.334129552, 16.8743627522
5.036, 344.528537972, 18.3606433782
5.037, 318.943613105, 17.6621679172
5.038, 331.807000876, 18.0186462344
5.039, 336.007281642, 18.140002478
5.04, 330.980279225, 18.0003279685
5.041, 313.626265937, 17.5298202351
5.042, 327.137106026, 17.897566059
5.043, 335.511057106, 18.1132128374
5.044, 283.57397657, 16.6787418645
5.045, 310.230333147, 17.421887893
5.046, 327.128294537, 17.8970839852
5.047, 322.254077456, 17.7639200329
5.048, 313.366963177, 17.5153267718
5.049, 327.44669032, 17.9145033163
5.05, 339.925991917, 18.245450845
5.051, 314.308415075, 17.540554944
5.052, 334.894754565, 18.1063617365
5.053, 332.114524258, 18.0353461684
5.054, 304.972492866, 17.2910826458
5.055, 348.510781693, 18.4941980956
5.056, 318.576995775, 17.66899383
5.057, 294.709931249, 16.9845916233
5.058, 303.667309232, 17.2448369767
5.059, 318.54264711, 17.6670887762
5.06, 312.749599325, 17.5082053707
5.061, 306.607645139, 17.3281479484
5.062, 311.197714274, 17.4762139977
5.063, 319.349214946, 17.7118228351
5.064, 318.683523727, 17.6749021089
5.065, 313.302837161, 17.5117425135
